DATE,VALUE,LOGVALUE
10/24/14,1937.56,3.28725516
10/31/14,1988.34,3.298490649
11/7/14,2023.32,3.306064574
11/14/14,2039.07,3.309432135
11/21/14,2051.62,3.312096924
11/28/14,2069.21,3.315804569
12/5/14,2068.32,3.315617731
12/12/14,2036.79,3.308946254
12/19/14,2021.43,3.305658707
12/26/14,2082.84,3.31865591
1/2/15,2072.01,3.316391847
1/9/15,2031.21,3.307754826
1/16/15,2014.93,3.304259963
1/23/15,2042.41,3.310142928
1/30/15,2021.01,3.305568462
2/6/15,2046.08,3.31092261
2/13/15,2073.87,3.316781529
2/20/15,2101.94,3.322620315
2/27/15,2110.85,3.324457373
3/6/15,2099.2,3.322053818
3/13/15,2056.64,3.313158278
3/20/15,2090.47,3.320243939
3/27/15,2074.83,3.316982519
4/3/15,2070.2,3.316012304
4/10/15,2086.42,3.319401737
4/17/15,2096.21,3.321434788
4/24/15,2107.25,3.323716063
5/1/15,2104.87,3.323225278
5/8/15,2097.64,3.321730956
5/15/15,2109.35,3.324148647
5/22/15,2127.95,3.327961419
5/29/15,2113.97,3.32509882
